Type,Numéro,Alias,Alias structuré,Libellé,Compte provisoire 2014,Budget voté 2015,2016,2017,2018,2019,Mention
Article,12.080,192 12080,19.2.12.080,Bâtiments: exploitation et entretien,89 392,0,,,,,Crédit sans distinction d'exercice
Article,12.100,192 12100,19.2.12.100,Loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,98 825,0,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.120,192 12120,19.2.12.120,Frais d'experts et d'études,102 789,140 880,225 000,203 000,152 000,156 000,Crédit sans distinction d'exercice
Article,12.125,192 12125,19.2.12.125,Frais d'experts et d'études en matière informatique,235 189,217 311,230 000,242 000,248 000,253 000,Crédit sans distinction d'exercice
Article,12.140,192 12140,19.2.12.140,"Frais de publicité dans l'intérêt des produits laitiers, de la viande de porc, des salaisons fumées, de la viande de veau, de la viande bovine et participation à des expositions et manifestations",6 029,0,0,,,,
Article,12.141,192 12141,19.2.12.141,Frais en relation avec le financement d'actions concrètes dans le cadre de la transposition du plan d'action national sur l'agriculture biologique,99 530,0,0,,,,
Article,12.160,192 12160,19.2.12.160,Acquisition et entretien de matériel de laboratoire,266 735,0,0,,,,
Article,12.170,192 12170,19.2.12.170,Acquisition et entretien de petit outillage et d'équipements spéciaux de faible valeur; dépenses diverses en relation avec les champs d'essais et l'organisation de contrôles et d'essais,36 101,0,0,,,,
Article,12.190,192 12190,19.2.12.190,Formation du personnel,16 762,17 000,18 000,19 000,20 000,21 000,
Article,12.260,192 12260,19.2.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,794 442,795 000,798 000,811 000,793 000,Crédit sans distinction d'exercice
Article,12.270,192 12270,19.2.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,211 950,236 002,141 000,144 000,146 000,Crédit sans distinction d'exercice
Article,12.315,192 12315,19.2.12.315,Frais en relation avec le système de contrôle du mode de production biologique de produits agricoles,85 330,0,0,,,,
Article,12.330,192 12330,19.2.12.330,Frais inhérents aux contrôles techniques des semences de céréales et de plants fourragères ainsi que des plants de pommes de terre,64 983,97 550,81 000,83 000,84 000,85 000,Crédit non limitatif
Article,33.016,192 33016,19.2.33.016,Participation de l'Etat aux frais de fonctionnement de la ligue luxembourgeoise du coin de terre et du foyer,55 759,0,0,,,,Crédit sans distinction d'exercice
Article,33.017,192 33017,19.2.33.017,Participation de l'Etat aux frais de fonctionnement de la fédération horticole luxembourgeoise,59 265,0,0,,,,Crédit sans distinction d'exercice
Article,33.027,192 33027,19.2.33.027,Mesures spéciales d'ordre technique: subventions pour la rationalisation d'exploitations agricoles; la réalisation d'infrastructures d'élevage pour animaux de basse cour par des associations privées et mesures en faveur de la conservation de races; dépenses diverses,63 615,0,0,,,,Crédit sans distinction d'exercice
Article,34.100,192 34100,19.2.34.100,"Contribution de l'Etat aux primes dues en vertu de contrats conclus pour l'assurance-grêle, pour l'assurance multi-risques récoltes et l'assurance risques-bétail",893 134,0,0,,,,Crédit non limitatif
Article,41.010,192 41010,19.2.41.010,Financement des programmes et projets de recherche entrepris en collaboration avec les centres de recherche publics,417 416,461 760,448 193,448 650,400 000,410 000,Crédit sans distinction d'exercice
Article,11.630,192 11630,19.2.11.630,Indemnités pour services extraordinaires,,,971,,,,
Article,12.570,192 12570,19.2.12.570,Location et entretien des équipements informatiques,24 402,2 520,0,,,,
Section,19.3,193,19.3,Service d'économie rurale,4 935 141,5 122 189,6 777 566,6 880 737,7 028 646,7 273 739,
Article,11.000,193 11000,19.3.11.000,Traitements des fonctionnaires,3 248 875,3 433 128,3 300 015,3 364 964,3 440 128,3 567 955,Crédit non limitatif et sans distinction d'exercice
Article,11.010,193 11010,19.3.11.010,Indemnités des employés occupés à titre permanent,994 307,985 889,2 552 683,2 602 906,2 661 048,2 759 926,Crédit non limitatif et sans distinction d'exercice
Article,11.020,193 11020,19.3.11.020,Indemnités des employés occupés à titre temporaire,15 279,4 184,4 252,4 305,4 358,4 468,Crédit non limitatif et sans distinction d'exercice
Article,11.030,193 11030,19.3.11.030,Salaires des salariés occupés à titre permanent,115 504,122 238,123 185,125 599,128 405,133 176,Crédit non limitatif et sans distinction d'exercice
Article,11.040,193 11040,19.3.11.040,Salaires des salariés occupés à titre temporaire,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.100,193 11100,19.3.11.100,Indemnités d'habillement,851,910,920,932,946,962,
Article,12.010,193 12010,19.3.12.010,Frais de route et de séjour,14 726,15 000,33 000,34 234,34 748,35 339,
Article,12.030,193 12030,19.3.12.030,Fourniture de vêtements de travail et de protection,263,0,0,,,,
Article,12.040,193 12040,19.3.12.040,Frais de bureau,22 418,0,,,,,
Article,12.050,193 12050,19.3.12.050,Achat de biens et de services postaux et de télécommunications,240,0,,,,,
Article,12.080,193 12080,19.3.12.080,Bâtiments: exploitation et entretien,23 335,0,,,,,
Article,12.090,193 12090,19.3.12.090,Loyers d'immeubles et charges locatives accessoires payés au secteur des administrations publiques,382 589,0,,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.120,193 12120,19.3.12.120,Frais d'organisation pour l'anniversaire du Service d'Economie Rurale; dépenses diverses,,,0,,,,
Article,12.125,193 12125,19.3.12.125,Frais d'experts et d'études en matière informatique,,1 000,1 000,1 013,1 028,1 045,
Article,12.140,193 12140,19.3.12.140,"Frais de publicité, de sensibilisation et d'information; dépenses diverses",756,0,0,,,,
Article,12.190,193 12190,19.3.12.190,Formation du personnel,1 683,5 000,7 500,7 598,7 712,7 843,
Article,12.260,193 12260,19.3.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,30 470,80 000,54 064,54 875,55 808,Crédit sans distinction d'exercice
Article,12.270,193 12270,19.3.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,408 270,544 438,551 518,559 791,569 307,Crédit sans distinction d'exercice
Article,12.300,193 12300,19.3.12.300,Frais d'impression et d'envoi de formulaires de décisions et de documentation destinés aux agriculteurs,54 167,60 000,78 000,81 040,82 256,83 654,Crédit non limitatif
Article,12.301,193 12301,19.3.12.301,Acquisition et entretien d'équipements spéciaux,,1 500,1 500,1 520,1 543,1 569,Crédit non limitatif
Article,12.310,193 12310,19.3.12.310,"Réunions périodiques et voyages et autres activités d'information pour le perfectionnement des chefs d'exploitation dont la comptabilité est tenue par le service d'économie rurale, pour la promotion de la coopération et de l'entraide entre agriculteurs et pour des actions visant à introduire des méthodes de production plus soucieuses de l'environnement: frais d'organisation; frais de documentation; frais d'entretien, de maintenance et d'expert en relation avec les différents programmes informatiques; dépenses diverses",2 648,0,0,,,,
Article,24.010,193 24010,19.3.24.010,Location de logiciels informatiques,57 500,54 500,50 290,50 944,51 708,52 587,Crédit non limitatif et sans distinction d'exercice
Article,12.590,193 12590,19.3.12.590,Loyers d'immeubles et charges locatives accessoires payés au secteur administrations publiques,,,683,,,,
Section,19.4,194,19.4,Administration des services vétérinaires,6 168 669,6 791 874,8 121 756,8 324 868,8 513 387,8 811 197,
Article,11.000,194 11000,19.4.11.000,Traitements des fonctionnaires,3 610 179,3 873 681,4 053 486,4 132 960,4 225 279,4 382 280,Crédit non limitatif et sans distinction d'exercice
Article,11.010,194 11010,19.4.11.010,Indemnités des employés occupés à titre permanent,674 272,893 421,1 111 076,1 132 899,1 158 205,1 201 241,Crédit non limitatif et sans distinction d'exercice
Article,11.020,194 11020,19.4.11.020,Indemnités des employés occupés à titre temporaire,720,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.030,194 11030,19.4.11.030,Salaires des salariés occupés à titre permanent,71 444,128 872,130 774,133 320,136 298,141 363,Crédit non limitatif et sans distinction d'exercice
Article,11.040,194 11040,19.4.11.040,Salaires des salariés occupés à titre temporaire,22 122,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.100,194 11100,19.4.11.100,Indemnités d'habillement,388,500,500,500,500,500,
Article,11.130,194 11130,19.4.11.130,Indemnités pour services extraordinaires,8 715,20 000,15 000,15 000,15 000,15 000,
Article,12.010,194 12010,19.4.12.010,Frais de route et de séjour,14 645,16 000,16 000,16 000,16 000,16 000,
Article,12.020,194 12020,19.4.12.020,Frais d'exploitation des véhicules automoteurs,24 725,32 000,31 000,34 320,35 693,37 121,
Article,12.030,194 12030,19.4.12.030,Fourniture de vêtements de travail et de protection,1 863,0,0,,,,
Article,12.031,194 12031,19.4.12.031,Vétérinaires officiels: fourniture de vêtements de travail et de protection,,0,0,,,,
Article,12.040,194 12040,19.4.12.040,Inspection vétérinaire: frais de bureau,18 663,0,,,,,
Article,12.041,194 12041,19.4.12.041,Laboratoire de médecine vétérinaire: frais de bureau,6 540,0,,,,,
Article,12.050,194 12050,19.4.12.050,Inspection vétérinaire: achat de biens et de services postaux et de télécommunications,16 413,20 950,105 000,106 365,107 960,109 795,Crédit non limitatif
Article,12.051,194 12051,19.4.12.051,Laboratoire de médecine vétérinaire: achat de biens et de services postaux et de télécommunications,7 171,11 000,9 000,10 000,10 000,10 000,Crédit non limitatif et sans distinction d'exercice
Article,12.060,194 12060,19.4.12.060,Inspecteurs des viandes: location et entretien des installations de télécommunications,42,0,0,,,,
Article,12.080,194 12080,19.4.12.080,Bâtiments: exploitation et entretien,32 936,0,,,,,
Article,12.100,194 12100,19.4.12.100,Loyers d'immeubles et charges locatives accessoires payés à des secteurs autres que le secteur des administrations publiques,3 888,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.120,194 12120,19.4.12.120,Frais d'experts et d'études; frais d'analyses à effectuer dans des laboratoires externes,399 131,395 000,443 000,450 000,450 000,450 000,Crédit non limitatif et sans distinction d'exercice
Article,12.122,194 12122,19.4.12.122,Frais d'experts et d'études : frais d'accréditation,24 200,34 000,30 000,30 000,30 000,30 000,Crédit non limitatif
Article,12.125,194 12125,19.4.12.125,Frais d'experts et d'études en matière informatique,4 668,10 000,5 000,5 000,5 000,5 000,Crédit sans distinction d'exercice
Article,12.150,194 12150,19.4.12.150,Honoraires et prestations des vétérinaires praticiens dans l'intérêt de la police sanitaire du bétail,431 738,350 000,957 262,1 023 362,1 069 964,1 137 454,Crédit non limitatif et sans distinction d'exercice
Article,12.160,194 12160,19.4.12.160,"Achat de vaccins, de sérums, de désinfectants, de réactifs de laboratoire, de matériel d'identification des bovins, des porcins et des ovins et de matériel de lutte contre les épizooties et prestations de services directs en relation avec la police sanitaire du bétail",768 041,908 500,996 700,1 009 650,1 024 800,1 042 200,Crédit non limitatif et sans distinction d'exercice
Article,12.162,194 12162,19.4.12.162,Vétérinaires officiels: acquisition et entretien de matériel vétérinaire,5 680,0,0,,,,
Article,12.190,194 12190,19.4.12.190,"Cours de formation continue, conférences",4 198,4 000,7 500,6 000,5 000,5 000,
Article,12.250,194 12250,19.4.12.250,Frais de fonctionnement de l'Organisme pour la Sécurité et la Qualité de la Chaîne Alimentaire (OSQCA) (part du département de l'agriculture),3 739,7 000,7 000,7 400,7 600,8 000,
Article,12.260,194 12260,19.4.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,24 850,46 750,48 620,50 565,52 587,Crédit sans distinction d'exercice
Article,12.261,194 12261,19.4.12.261,Frais d'exploitation et frais administratifs; dépenses diverses,,22 000,21 000,22 000,22 000,22 000,Crédit sans distinction d'exercice
Article,12.270,194 12270,19.4.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,39 900,49 300,51 272,53 323,55 456,Crédit sans distinction d'exercice
Article,12.300,194 12300,19.4.12.300,Enlèvement de déchets toxiques de laboratoire,10 409,0,0,,,,
Article,12.310,194 12310,19.4.12.310,Frais d'enlèvement de cadavres ou de désinfection d'installations dans le cadre de la lutte contre les épizooties; prise en charge des frais en rapport avec l'élimination de matériel animalier,2 139,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,24.010,194 24010,19.4.24.010,Location de logiciels informatiques auprès de secteurs autres que le secteur administrations publiques,,,85 000,90 000,90 000,90 000,Crédit non limitatif et sans distinction d'exercice
Article,12.650,194 12650,19.4.12.650,"Prestations médicales, paramédicales et vétérinaires",,,1 208,,,,
Département,20/21/22,20,20/21/22,Ministère du Développement durable et des infrastructures,1 031 332 436,1 081 918 406,1 106 295 030,1 141 527 887,1 175 846 912,1 224 682 364,
Section,20.0,200,20.0,Transports.- Dépenses générales,1 080 570,1 894 423,10 015 386,10 585 000,12 507 200,13 556 300,
Article,11.130,200 11130,20.0.11.130,Indemnités pour services extraordinaires,398,435,580,2 000,2 000,2 000,
Article,12.000,200 12000,20.0.12.000,Indemnités pour services de tiers,,100,100,1 500,1 500,1 500,Crédit non limitatif
Article,12.010,200 12010,20.0.12.010,"Frais de route et de séjour, frais de déménagement",2 555,6 500,5 500,5 500,5 500,5 500,
Article,12.012,200 12012,20.0.12.012,Frais de route et de séjour à l'étranger,142 208,144 000,148 000,150 000,155 000,155 000,Crédit non limitatif et sans distinction d'exercice
Article,12.020,200 12020,20.0.12.020,Frais d'exploitation des véhicules automoteurs,9 547,12 000,11 000,12 000,13 000,13 000,
Article,12.040,200 12040,20.0.12.040,Frais de bureau,17 402,0,,,,,
Article,12.060,200 12060,20.0.12.060,Location et entretien des installations de télécommunications,113,0,0,,,,
Article,12.070,200 12070,20.0.12.070,Location et entretien des équipements informatiques,3 071,0,0,,,,
Article,12.080,200 12080,20.0.12.080,Bâtiments: exploitation et entretien,35 845,45 000,43 000,45 000,45 000,45 000,Crédit sans distinction d'exercice
Article,12.120,200 12120,20.0.12.120,Frais d'experts et d'études,693 820,950 000,780 000,850 000,950 000,950 000,Crédit non limitatif et sans distinction d'exercice
Article,12.140,200 12140,20.0.12.140,"Frais de publicité, de sensibilisation et d'information",88 081,0,0,,,,
Article,12.190,200 12190,20.0.12.190,"Colloques, séminaires, stages et journées d'études: frais d'organisation et de participation",13 899,42 000,45 000,45 000,45 000,45 000,
Article,12.230,200 12230,20.0.12.230,Frais de représentation,,,0,0,0,0,Crédit non limitatif et sans distinction d'exercice
Article,12.260,200 12260,20.0.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,128 500,128 500,131 000,133 000,133 000,
Article,12.320,200 12320,20.0.12.320,Frais en relation avec des actes et manifestations de la vie publique à caractère protocolaire ou social; dépenses diverses,,,0,0,0,0,Crédit non limitatif et sans distinction d'exercice
Article,33.010,200 33010,20.0.33.010,Promotion du transport combiné fret ferroviaire et fluvial,,410 000,8 638 465,9 213 000,11 027 000,12 076 000,Crédit non limitatif et sans distinction d'exercice
Article,35.060,200 35060,20.0.35.060,Cotisations à des organismes internationaux,69 184,150 000,100 000,120 000,120 000,120 000,Crédit non limitatif et sans distinction d'exercice
Article,41.000,200 41000,20.0.41.000,"Cours de formation pour les conseillers de sécurité pour les transports par route, par rail ou par voie navigable de marchandises dangereuses: remboursement des frais d'examen à la Chambre de Commerce",3 536,3 000,3 700,4 000,4 200,4 300,
Article,41.001,200 41001,20.0.41.001,Cours de formation pour les exploitants de taxis: remboursement des frais d'examen à la Chambre des métiers,,2 000,4 000,6 000,6 000,6 000,
Article,12.512,200 12512,20.0.12.512,"Frais de route et de séjour, frais de déménagement",861,888,0,,,,
Article,12.580,200 12580,20.0.12.580,Bâtiments: exploitation et entretien,50,,,,,,
Article,12.620,200 12620,20.0.12.620,Frais d'experts et d'études,,,35 000,,,,
Article,12.800,200 12800,20.0.12.800,Régularisation de la taxe sur la valeur ajoutée concernant des exercices antérieurs,,,72 541,,,,
Section,20.1,201,20.1,Circulation et sécurité routières,10 998 295,11 915 356,11 386 896,11 611 570,12 197 158,12 888 680,
Article,11.130,201 11130,20.1.11.130,Indemnités pour services extraordinaires,19 912,20 400,20 400,20 400,20 400,20 400,
Article,12.000,201 12000,20.1.12.000,Indemnités pour services de tiers,1 993,1 900,1 800,1 800,1 800,1 800,
Article,12.120,201 12120,20.1.12.120,Frais d'experts et d'études,97 409,0,0,,,,Crédit non limitatif
Article,12.140,201 12140,20.1.12.140,Mesures préventives contre les accidents de la circulation: frais de sensibilisation et d'information,208 756,0,0,,,,Crédit sans distinction d'exercice
Article,12.160,201 12160,20.1.12.160,Acquisition et entretien de matériel médical,0,0,0,,,,
Article,12.260,201 12260,20.1.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,220 125,230 125,230 125,230 125,230 125,Crédit sans distinction d'exercice
Article,12.310,201 12310,20.1.12.310,Remboursement à la Société Nationale de Circulation Automobile (SNCA) des frais pour l'exécution des tâches prévues par le contrat de gestion entre l'Etat du Grand-Duché de Luxembourg et la SNCA,8 347 741,8 910 000,8 043 384,8 430 875,8 961 859,9 545 226,Crédit non limitatif et sans distinction d'exercice
Article,12.320,201 12320,20.1.12.320,Frais de fonctionnement relatifs au contrôle technique routier des véhicules utilitaires,85 767,84 000,94 820,98 100,101 600,105 200,
Article,32.000,201 32000,20.1.32.000,Participation aux frais des cours de formation dispensés par le Centre de Formation pour Conducteurs,279 266,285 000,326 000,330 050,335 555,339 710,
Article,32.001,201 32001,20.1.32.001,Participation aux frais d'éducation et de prévention routières dans les établissements scolaires du Centre de Formation pour Conducteurs,,106 735,106 735,111 652,117 175,122 334,
Article,33.010,201 33010,20.1.33.010,Subsides à des organismes privés oeuvrant en matière de sécurité et d'éducation routières,77 000,78 100,78 100,78 100,78 100,78 100,
Article,33.011,201 33011,20.1.33.011,Subsides à des organismes privés oeuvrant pour la promotion de la mobilité douce,9 000,9 000,0,,,,
Article,41.000,201 41000,20.1.41.000,Cours de formation pour les chauffeurs professionnels effectuant des transports de matières dangereuses: remboursement des frais à la Chambre de Commerce,105 994,106 800,109 000,110 600,112 300,114 000,
Article,41.001,201 41001,20.1.41.001,"Cours de formation pour conducteurs professionnels de poids lourds, d'autobus et d'autocars",1 718 008,2 068 560,2 246 400,2 129 868,2 168 244,2 261 785,Crédit non limitatif
Article,41.002,201 41002,20.1.41.002,Cours de formation pour examinateurs chargés de la réception des examens en vue de l'obtention du permis de conduire: Remboursement de frais,,,69 000,70 000,70 000,70 000,Crédit non limitatif
Article,33.500,201 33500,20.1.33.500,Participation aux frais des cours de formation dispensés par le Centre de Formation pour conducteurs,47 449,24 736,61 132,,,,
Section,20.2,202,20.2,"Planification de la mobilité, Transports publics et ferroviaires",721 893 913,748 428 134,760 759 759,785 267 478,815 835 939,854 769 336,
Article,11.000,202 11000,20.2.11.000,Traitements des fonctionnaires,184 203,182 078,188 757,192 450,196 748,204 059,Crédit non limitatif et sans distinction d'exercice
Article,12.070,202 12070,20.2.12.070,Location et entretien des équipements informatiques,2 530,0,0,,,,
Article,12.120,202 12120,20.2.12.120,Frais d'experts et d'études liés à la planification de la mobilité,102 507,400 000,885 000,1 400 000,1 100 000,800 000,Crédit non limitatif et sans distinction d'exercice
Article,12.121,202 12121,20.2.12.121,Cellule mobilité douce,97 900,100 000,130 000,130 000,130 000,130 000,Crédit non limitatif et sans distinction d'exercice
Article,12.122,202 12122,20.2.12.122,Observatoire de la mobilité,,100 000,1 000 000,300 000,500 000,500 000,Crédit non limitatif et sans distinction d'exercice
Article,12.141,202 12141,20.2.12.141,Frais d'impression d'horaires d'autobus et de matériel en relation avec les conditions tarifaires,17 671,0,0,,,,
Article,12.260,202 12260,20.2.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,58 000,35 000,35 000,35 500,35 500,
Article,12.300,202 12300,20.2.12.300,Remboursement à la S.N. des C.F.L. des frais de gestion du service public d'autobus autorisé par l'Etat,764 826,850 000,800 000,800 000,800 000,800 000,Crédit non limitatif et sans distinction d'exercice
Article,12.310,202 12310,20.2.12.310,Frais liés au contrôle des titres de transport et de l'application des règles tarifaires dans les autobus circulant sur le réseau RGTR,94 996,320 000,320 000,320 000,320 000,320 000,Crédit non limitatif et sans distinction d'exercice
Article,12.320,202 12320,20.2.12.320,Frais de gestion du modèle géré par la Cellule Modèle de Transport (CMT) Etat - Ville de Luxembourg,,,397 300,404 600,423 100,442 900,Crédit non limitatif et sans distinction d'exercice
Article,31.020,202 31020,20.2.31.020,Services publics d'autobus et ferroviaires assurés par la S.N. des C.F.L. en exécution de la convention conclue avec l'Etat et quasi-gratuité du transport des jeunes,183 358 572,198 889 892,198 308 708,202 419 569,214 748 161,228 740 684,Crédit non limitatif et sans distinction d'exercice
Article,31.021,202 31021,20.2.31.021,Services publics de tramways assurés par Luxtram,2 029 000,75 000,629 000,5 171 000,11 279 000,18 217 000,Crédit non limitatif et sans distinction d'exercice
Article,31.023,202 31023,20.2.31.023,Contributions à la S.N. des C.F.L. conformément aux dispositions de l'article 7 de la loi modifiée du 28 mars 1997 sur le statut de la S.N. des C.F.L.,3 421 054,3 210 996,2 884 104,2 866 027,2 674 393,2 626 732,Crédit non limitatif et sans distinction d'exercice
Article,31.040,202 31040,20.2.31.040,Services publics d'autobus assurés par des entreprises privées en exécution des conventions conclues avec l'Etat,138 297 744,143 640 000,150 925 006,156 974 828,157 949 656,164 049 639,Crédit non limitatif
Article,32.001,202 32001,20.2.32.001,Compensation des charges de la S.N. des C.F.L. résultant de la normalisation des comptes en ce qui concerne les pensions du personnel,167 066 894,171 138 279,173 964 160,177 717 916,184 712 187,193 225 611,Crédit non limitatif et sans distinction d'exercice
Article,33.001,202 33001,20.2.33.001,Dotation dans l'intérêt de la couverture des frais de la Communauté des Transports,6 440 000,0,0,,,,Crédit non limitatif
Article,33.010,202 33010,20.2.33.010,Subsides aux associations promouvant les transports publics,1 000,3 000,3 000,3 000,3 000,3 000,
Article,33.011,202 33011,20.2.33.011,Subsides aux entreprises privées dans l'intérêt du service de transport en commun pendant la nuit,112 500,150 000,0,,,,
Article,33.012,202 33012,20.2.33.012,Subsides à l'Association des Transports Scolaires des Elèves de l'Ecole Européenne (ATSEE),152 625,200 000,200 000,200 000,200 000,200 000,
Article,33.013,202 33013,20.2.33.013,Subsides aux associations promouvant la mobilité douce,,10 000,0,,,,
Article,33.014,202 33014,20.2.33.014,Subsides à des organismes privés oeuvrant pour la promotion de la mobilité douce,,,36 000,30 000,30 000,30 000,
Article,34.090,202 34090,20.2.34.090,Gratuité du transport des élèves de l'enseignement postprimaire,4 791 829,5 119 500,5 120 000,5 740 000,6 000 000,6 000 000,Crédit non limitatif
Article,34.091,202 34091,20.2.34.091,"Transports effectués pour le compte des élèves fréquentant les établissements de l'éducation différenciée et de l'intégration scolaire, des personnes fréquentant les centres pour handicapés physiques et polyhandicapés ainsi que des travailleurs handicapés et des jeunes en mal d'insertion professionnelle",38 400 195,31 633 330,31 090 551,31 093 091,31 286 182,31 682 086,Crédit non limitatif et sans distinction d'exercice
Article,34.092,202 34092,20.2.34.092,Transports sur commande dans l'intérêt de personnes infirmes à mobilité réduite,9 178 720,11 210 000,11 279 129,11 571 862,12 149 974,12 303 723,Crédit non limitatif
Article,41.010,202 41010,20.2.41.010,Dotation dans l'intérêt de la couverture des frais de la Communauté des Transports,,5 655 874,5 286 835,4 971 761,4 384 732,3 563 759,Crédit non limitatif
Article,41.011,202 41011,20.2.41.011,Participation aux frais de fonctionnement de Luxtram,,1 757 000,2 218 000,2 199 000,2 307 000,2 139 000,Crédit non limitatif et sans distinction d'exercice
Article,43.000,202 43000,20.2.43.000,Services publics d'autobus et quasi-gratuité du transport des jeunes assurés par la Ville de Luxembourg,18 475 605,13 317 295,13 234 111,13 684 985,13 769 970,13 944 219,Crédit non limitatif et sans distinction d'exercice
Article,43.001,202 43001,20.2.43.001,Subventions aux communes en vue de compenser les déchets de recettes résultant de l'application sur leurs réseaux de transports publics de la tarification nationale uniforme,94 836,100 000,100 000,100 000,100 000,100 000,
Article,43.002,202 43002,20.2.43.002,"Subsides aux communes organisant le ""Late Night Bus""",354 026,300 000,583 000,600 000,600 000,600 000,
Article,43.003,202 43003,20.2.43.003,Participation aux frais d'études et d'information des communes et syndicats de communes dans le cadre de l'élaboration des plans de déplacement locaux,,0,0,,,,Crédit non limitatif
Article,43.020,202 43020,20.2.43.020,Services publics d'autobus et quasi-gratuité du transport des jeunes assurés par le T.I.C.E. en exécution de la convention conclue avec l'Etat,26 231 035,27 245 000,31 206 260,32 199 965,32 399 930,33 322 583,Crédit non limitatif
Article,93.000,202 93000,20.2.93.000,Dotation au profit du fonds du rail dans l'intérêt de la prise en charge de la gestion de l'infrastructure ferroviaire conformément à la directive 91/440 CEE,121 948 473,132 178 901,129 935 838,134 142 424,137 736 406,140 788 841,Crédit non limitatif et sans distinction d'exercice
Article,31.540,202 31540,20.2.31.540,Services publics d'autobus assurés par des entreprises privées en exécution des conventions conclues avec l'Etat,,471 489,0,,,,
Article,33.511,202 33511,20.2.33.511,Subsides aux entreprises privées dans l'intérêt du service de transport en commun pendant la nuit,,112 500,0,,,,
Article,33.512,202 33512,20.2.33.512,Subsides à l'Association des Transports Scolaires des Elèves de l'Ecole Européenne (ATSEE),275 172,0,0,,,,
Section,20.3,203,20.3,Administration des enquêtes techniques,283 814,503 299,501 510,510 840,521 581,539 709,
Article,11.000,203 11000,20.3.11.000,Traitements des fonctionnaires,209 567,406 907,399 208,407 032,416 124,431 586,Crédit non limitatif et sans distinction d'exercice
Article,11.010,203 11010,20.3.11.010,Indemnités des employés occupés à titre permanent,57 507,57 192,63 652,64 908,66 357,68 823,Crédit non limitatif et sans distinction d'exercice
Article,11.020,203 11020,20.3.11.020,Indemnités des employés occupés à titre temporaire,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.010,203 12010,20.3.12.010,Frais de route et de séjour,,100,100,100,100,100,
Article,12.012,203 12012,20.3.12.012,Frais de route et de séjour à l'étranger,5 940,13 000,13 000,13 000,13 000,13 000,Crédit non limitatif et sans distinction d'exercice
Article,12.020,203 12020,20.3.12.020,Frais d'exploitation des véhicules automoteurs,4 137,5 500,6 000,6 000,6 000,6 000,
Article,12.030,203 12030,20.3.12.030,Fourniture de vêtements de travail et de protection,,0,0,,,,
Article,12.040,203 12040,20.3.12.040,Frais de bureau,777,0,,,,,
Article,12.070,203 12070,20.3.12.070,Location et entretien des équipements informatiques,1 150,0,0,,,,
Article,12.080,203 12080,20.3.12.080,Bâtiments: exploitation et entretien,3 523,7 500,7 500,7 500,7 500,7 500,
Article,12.120,203 12120,20.3.12.120,Frais d'experts et d'études,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.170,203 12170,20.3.12.170,Acquisition et entretien de petit outillage et d'équipements spéciaux de faible valeur,,0,0,,,,
Article,12.190,203 12190,20.3.12.190,"Colloques, séminaires, stages et journées d'études: frais d'organisation et de participation",,1 500,1 500,1 500,1 500,1 500,
Article,12.191,203 12191,20.3.12.191,Cours de formation et de recyclage,,6 000,6 000,6 000,6 000,6 000,
Article,12.260,203 12260,20.3.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,4 100,3 000,3 200,3 400,3 600,
Article,35.060,203 35060,20.3.35.060,Parts contributives aux frais de fonctionnement d'organismes internationaux,1 213,1 300,1 350,1 400,1 400,1 400,Crédit non limitatif
Section,20.4,204,20.4,Navigation et transports fluviaux,2 888 536,3 180 268,3 646 453,3 800 534,3 873 988,3 895 102,
Article,11.000,204 11000,20.4.11.000,Traitements des fonctionnaires,1 884 379,1 947 459,2 299 721,2 344 829,2 397 206,2 486 281,Crédit non limitatif et sans distinction d'exercice
Article,11.010,204 11010,20.4.11.010,Indemnités des employés occupés à titre permanent,75 835,70 282,74 346,75 810,77 503,80 383,Crédit non limitatif et sans distinction d'exercice
Article,11.020,204 11020,20.4.11.020,Indemnités des employés occupés à titre temporaire,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.030,204 11030,20.4.11.030,Salaires des salariés occupés à titre permanent,53 318,66 272,70 476,71 849,73 453,76 183,Crédit non limitatif et sans distinction d'exercice
Article,11.100,204 11100,20.4.11.100,Indemnités d'habillement,1 227,1 265,1 265,1 270,1 302,1 302,Crédit sans distinction d'exercice
